Source,Destination,Walking Time (seconds)
19,17,7727
19,18,3073
19,19,0
19,20,3741
19,21,4386
19,22,4229
19,23,4230
19,24,1767
19,25,1751
19,26,3154
19,27,2596
19,28,5499
19,29,3478
19,30,1031
19,31,4491
19,32,2760
19,33,5824
19,34,3813
19,35,1515
19,36,4267
19,37,2268
19,38,2359
19,39,2164
19,40,1274
19,41,3480
19,42,2711
19,43,2106
19,44,3558
19,45,5312
19,46,4712
19,47,3799
19,48,2597
19,49,3342
19,50,3651
19,51,2906
19,52,3258
19,53,2958
19,54,8537
19,55,4361
19,56,2439
19,57,2399
20,1,8762
20,2,8803
20,3,6522
20,4,1466
20,5,7111
20,6,4168
20,7,3829
20,8,2332
20,9,1426
20,10,3828
20,11,3645
20,12,2596
20,13,2874
20,14,2837
20,15,4529
20,16,3481
20,17,4666
20,18,1579
20,19,3737
20,20,0
20,21,1510
20,22,923
20,23,1155
20,24,2398
20,25,2977
20,26,3395
20,27,5848
20,28,2133
20,29,1279
20,30,4612
20,31,7057
20,32,1081
20,33,2298
20,34,3422
20,35,3236
20,36,3578
20,37,1613
20,38,1544
20,39,2395
20,40,3160
20,41,6129
20,42,2750
20,43,3086
20,44,2900
20,45,1746
20,46,1411
20,47,2718
20,48,1429
20,49,1127
20,50,705
20,51,3584
20,52,796
20,53,736
20,54,10870
20,55,7150
20,56,1838
20,57,4249
21,1,8075
21,2,8304
21,3,5099
21,4,1209
21,5,6944
21,6,5310
21,7,5128
21,8,3474
21,9,1155
21,10,3643
21,11,2431
21,12,1407
21,13,2373
21,14,4136
21,15,5192
21,16,4423
21,17,5965
21,18,1467
21,19,4400
21,20,1524
21,21,0
21,22,1615
21,23,485
21,24,2782
21,25,4118
21,26,4685
21,27,6168
21,28,1392
21,29,1022
21,30,5014
21,31,6890
21,32,1961
21,33,1736
21,34,4721
21,35,4378
21,36,2891
21,37,2414
21,38,2507
21,39,2454
21,40,3520
21,41,6405
21,42,3560
21,43,4228
21,44,4199
21,45,1371
21,46,500
21,47,2031
21,48,2017
21,49,1302
21,50,1973
21,51,3416
21,52,1973
21,53,1870
21,54,10561
21,55,6983
21,56,2145
21,57,5391
22,1,9361
22,2,9590
22,3,6302
22,4,2246
22,5,7855
22,6,4402
22,7,3660
22,8,2564
22,9,2190
22,10,4638
22,11,3359
22,12,2311
22,13,2461
22,14,2668
22,15,5007
22,16,3729
22,17,4498
22,18,2388
22,19,4215
22,20,907
22,21,1591
22,22,0
22,23,1346
22,24,3199
22,25,3225
22,26,3226
22,27,6490
22,28,1841
22,29,2059
22,30,5246
22,31,7802
22,32,1890
22,33,1885
22,34,3254
22,35,3484
22,36,4177
22,37,2423
22,38,2094
22,39,3204
22,40,3725
22,41,6805
22,42,3208
22,43,3306
22,44,2731
22,45,1336
22,46,1391
22,47,3317
22,48,2238
22,49,1936
22,50,701
22,51,4393
22,52,973
22,53,1573
22,54,11680
22,55,7686
22,56,2648
22,57,4497
23,1,8044
23,2,8273
23,3,5527
23,4,1093
23,5,6831
23,6,4986
23,7,4772
23,8,3151
23,9,1041
23,10,3549
23,11,2849
23,12,1825
23,13,2435
23,14,3780
23,15,5034
23,16,4300
23,17,5609
23,18,1309
23,19,4242
23,20,1171
23,21,484
23,22,1369
23,23,0
23,24,2623
23,25,3795
23,26,4362
23,27,6055
23,28,1454
23,29,906
23,30,4902
23,31,6778
23,32,1803
23,33,1798
23,34,4365
23,35,4055
23,36,2860
23,37,2256
23,38,2349
23,39,2296
23,40,3408
23,41,6293
23,42,3402
23,43,3905
23,44,3843
23,45,1428
23,46,634
23,47,2000
23,48,1859
23,49,1119
23,50,1617
23,51,3304
23,52,1620
23,53,1555
23,54,10530
23,55,6871
23,56,1987
23,57,5068
24,1,7323
24,2,6780
24,3,7502
24,4,1734
24,5,4826
24,6,3884
24,7,4857
24,8,2733
24,9,1641
24,10,1805
24,11,5198
24,12,4174
24,13,4963
24,14,4913
24,15,2554
24,16,2567
24,17,6742
24,18,1451
24,19,1762
24,20,2394
24,21,2764
24,22,3212
24,23,2608
24,24,0
24,25,2713
24,26,3793
24,27,3515
24,28,3982
24,29,1856
24,30,2362
24,31,4773
24,32,1340
24,33,4326
24,34,4488
24,35,2718
24,36,2699
24,37,818
24,38,1224
24,39,542
24,40,873
24,41,3797
24,42,1732
24,43,3107
24,44,4112
24,45,3961
24,46,3090
24,47,2170
24,48,1054
24,49,1720
24,50,2669
24,51,1560
24,52,2241
24,53,1725
24,54,8847
24,55,4678
24,56,817
24,57,3908
25,1,8733
25,2,8190
25,3,8972
25,4,3150
25,5,6264
25,6,1443
25,7,2511
25,8,1490
25,9,3081
25,10,4330
25,11,6265
25,12,5216
25,13,5516
25,14,3590
25,15,2514
25,16,721
25,17,5293
25,18,2775
25,19,1722
25,20,2955
25,21,4084
25,22,3220
25,23,3767
25,24,2727
25,25,0
25,26,1447
25,27,4318
25,28,4753
25,29,3214
25,30,2753
25,31,6211
25,32,2265
25,33,4940
25,34,2142
25,35,303
25,36,5006
25,37,2302
25,38,2341
25,39,2934
25,40,3215
25,41,5200
25,42,1543
25,43,398
25,44,1826
25,45,4388
25,46,4023
25,47,4284
25,48,2582
25,49,2824
25,50,2588
25,51,4085
25,52,2225
25,53,2239
25,54,10257
25,55,6081
25,56,2484
25,57,1496
26,1,10694
26,2,10416
26,3,9441
26,4,3754
26,5,8456
26,6,2197
26,7,1208
26,8,1837
26,9,3685
26,10,5441
26,11,6553
26,12,5504
26,13,5723
26,14,2620
26,15,3952
26,16,2213
26,17,4054
26,18,3393
26,19,3160
26,20,3398
26,21,4676
26,22,3246
26,23,4359
26,24,3838
26,25,1475
26,26,0
26,27,5756
26,28,5034
26,29,3810
26,30,4191
26,31,8402
26,32,2883
26,33,5082
26,34,808
26,35,1734
26,36,5624
26,37,3409
26,38,2983
26,39,4045
26,40,4326
26,41,7406
26,42,2654
26,43,1241
26,44,493
26,45,4530
26,46,4615
26,47,4902
26,48,3231
26,49,3428
26,50,2959
26,51,5196
26,52,2829
26,53,2843
26,54,12483
26,55,8287
26,56,3641
26,57,2397
27,1,5878
27,2,4437
27,3,10637
27,4,5148
27,5,2089
27,6,5011
27,7,6706
27,8,6033
27,9,5056
27,10,3535
27,11,8630
27,12,7605
27,13,8443
27,14,8219
27,15,2301
27,16,4008
27,17,10049
27,18,4933
27,19,2635
27,20,5894
27,21,6199
27,22,6550
27,23,6089
27,24,3563
27,25,4386
27,26,5789
27,27,0
27,28,7463
27,29,5286
27,30,1850
27,31,2046
27,32,4841
27,33,7806
27,34,6449
27,35,4150
27,36,4883
27,37,4318
27,38,4681
27,39,3886
27,40,2865
27,41,989
27,42,5032
27,43,4741
27,44,6193
27,45,7442
27,46,6570
27,47,4881
27,48,4575
27,49,5213
27,50,5973
27,51,3250
27,52,5580
27,53,5225
27,54,6230
27,55,1789
27,56,4337
27,57,5034
28,1,9370
28,2,9599
28,3,4683
28,4,2430
28,5,8187
28,6,5944
28,7,5448
28,8,4108
28,9,2376
28,10,4904
28,11,1719
28,12,871
28,13,1193
28,14,4456
28,15,6271
28,16,5257
28,17,6285
28,18,2664
28,19,5479
28,20,2117
28,21,1370
28,22,1843
28,23,1420
28,24,3978
28,25,4752
28,26,5013
28,27,7411
28,28,0
28,29,2243
28,30,6352
28,31,8133
28,32,2803
28,33,483
28,34,5041
28,35,5012
28,36,4186
28,37,3336
28,38,3322
28,39,3651
28,40,4763
28,41,7648
28,42,4492
28,43,4862
28,44,4519
28,45,526
28,46,967
28,47,3326
28,48,3000
28,49,2281
28,50,2421
28,51,4659
28,52,2573
28,53,2512
28,54,11856
28,55,8226
28,56,3243
28,57,6025
29,1,7463
29,2,7594
29,3,5844
29,4,187
29,5,6021
29,6,4411
29,7,4884
29,8,2584
29,9,233
29,10,2739
29,11,3444
29,12,2419
29,13,3232
29,14,4042
29,15,4274
29,16,3505
29,17,5871
29,18,549
29,19,3482
29,20,1279
29,21,1012
29,22,2073
29,23,897
29,24,1863
29,25,3219
29,26,3795
29,27,5245
29,28,2251
29,29,0
29,30,4092
29,31,5968
29,32,1043
29,33,2595
29,34,4490
29,35,3479
29,36,2279
29,37,1496
29,38,1589
29,39,1536
29,40,2598
29,41,5483
29,42,2642
29,43,3329
29,44,4125
29,45,2230
29,46,1359
29,47,1419
29,48,1099
29,49,391
29,50,1756
29,51,2494
29,52,1339
29,53,966
29,54,9781
29,55,6061
29,56,1227
29,57,4492
30,1,6491
30,2,5948
30,3,9741
30,4,3973
30,5,3878
30,6,3418
30,7,5114
30,8,4754
30,9,3881
30,10,3126
30,11,7547
30,12,6523
30,13,7331
30,14,6940
30,15,667
30,16,2416
30,17,8769
30,18,3800
30,19,1043
30,20,4628
30,21,5023
30,22,5271
30,23,4957
30,24,2387
30,25,2794
30,26,4197
30,27,1831
30,28,6331
30,29,4111
30,30,0
30,31,3836
30,32,3574
30,33,6675
30,34,4856
30,35,2558
30,36,4203
30,37,3052
30,38,3401
30,39,2710
30,40,1574
30,41,2848
30,42,3753
30,43,3149
30,44,4601
30,45,6203
30,46,5439
30,47,3767
30,48,3420
30,49,4069
30,50,4693
30,51,2842
30,52,4300
30,53,4000
30,54,8015
30,55,3578
30,56,3166
30,57,3442
31,1,3896
31,2,2455
31,3,10824
31,4,5865
31,5,135
31,6,6898
31,7,8594
31,8,7343
31,9,5772
31,10,3805
31,11,9080
31,12,8322
31,13,9160
31,14,9529
31,15,4293
31,16,5896
31,17,11358
31,18,5649
31,19,4525
31,20,7096
31,21,6915
31,22,7920
31,23,6805
31,24,4801
31,25,6274
31,26,8402
31,27,2043
31,28,8179
31,29,6003
31,30,3849
31,31,0
31,32,6045
31,33,8523
31,34,9098
31,35,6037
31,36,5151
31,37,5583
31,38,5988
31,39,5001
31,40,4175
31,41,1058
31,42,6342
31,43,6629
31,44,8722
31,45,8158
31,46,7287
31,47,5284
31,48,5693
31,49,6067
31,50,7282
31,51,3523
31,52,6889
31,53,6453
31,54,4198
31,55,538
31,56,5432
31,57,6922
32,1,7825
32,2,7743
32,3,6784
32,4,965
32,5,6050
32,6,3462
32,7,3949
32,8,1648
32,9,892
32,10,2768
32,11,4327
32,12,3279
32,13,3757
32,14,3716
32,15,3539
32,16,2622
32,17,5545
32,18,518
32,19,2747
32,20,1073
32,21,1937
32,22,1897
32,23,1781
32,24,1334
32,25,2271
32,26,2859
32,27,4784
32,28,2816
32,29,1029
32,30,3549
32,31,5996
32,32,0
32,33,3140
32,34,3555
32,35,2530
32,36,2749
32,37,533
32,38,553
32,39,1334
32,40,2097
32,41,5066
32,42,1760
32,43,2381
32,44,3190
32,45,2628
32,46,2082
32,47,2027
32,48,348
32,49,635
32,50,1379
32,51,2523
32,52,951
32,53,416
32,54,9810
32,55,6090
32,56,758
32,57,3544
33,1,9709
33,2,9938
33,3,4458
33,4,2769
33,5,8525
33,6,6131
33,7,5489
33,8,4305
33,9,2715
33,10,5243
33,11,1710
33,12,1136
33,13,762
33,14,4497
33,15,6591
33,16,5445
33,17,4359
33,18,3003
33,19,5799
33,20,2273
33,21,1709
33,22,1878
33,23,1759
33,24,4317
33,25,4940
33,26,5054
33,27,7749
33,28,478
33,29,2582
33,30,6672
33,31,8471
33,32,3123
33,33,0
33,34,5082
33,35,5200
33,36,4525
33,37,3656
33,38,3641
33,39,3990
33,40,5102
33,41,7987
33,42,4913
33,43,5050
33,44,4560
33,45,691
33,46,1306
33,47,3665
33,48,3339
33,49,2620
33,50,2462
33,51,4998
33,52,2711
33,53,2832
33,54,12195
33,55,8565
33,56,3582
33,57,6213
34,1,11390
34,2,11112
34,3,9472
34,4,4450
34,5,9153
34,6,2525
34,7,750
34,8,2533
34,9,4381
34,10,6137
34,11,6584
34,12,5535
34,13,5754
34,14,2651
34,15,4642
34,16,2909
34,17,3653
34,18,4089
34,19,3850
34,20,3429
34,21,4686
34,22,3277
34,23,4331
34,24,4535
34,25,2172
34,26,810
34,27,6447
34,28,5065
34,29,4506
34,30,4881
34,31,9099
34,32,3579
34,33,5113
34,34,0
34,35,2431
34,36,6321
34,37,4105
34,38,3680
34,39,4741
34,40,5022
34,41,8102
34,42,3350
34,43,1981
34,44,788
34,45,4561
34,46,4587
34,47,5598
34,48,3928
34,49,4125
34,50,2990
34,51,5892
34,52,3382
34,53,3539
34,54,13179
34,55,8983
34,56,4337
34,57,2775
35,1,8503
35,2,7960
35,3,9232
